epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,51740.6,1.85645,1.05087,0.00241,0.77056,0.58423,0.65785,0.3595,1.74027,0.9585,0.00282,0.00066175,0.00066175,0.00066175
43,52909,1.86291,1.05375,0.00241,0.76499,0.5902,0.65866,0.36181,1.73493,0.95943,0.00282,0.0006535,0.0006535,0.0006535
44,54184.5,1.85917,1.04583,0.00242,0.77226,0.59353,0.66093,0.36142,1.74049,0.96378,0.00284,0.00064525,0.00064525,0.00064525
45,55393.9,1.85014,1.03384,0.00238,0.77714,0.58599,0.65709,0.35931,1.73958,0.95352,0.00282,0.000637,0.000637,0.000637
46,56726.6,1.84439,1.028,0.00236,0.76958,0.59157,0.66007,0.36424,1.72777,0.94801,0.00279,0.00062875,0.00062875,0.00062875
47,57715.2,1.84635,1.03477,0.00238,0.77194,0.5931,0.66129,0.36379,1.72739,0.95488,0.0028,0.0006205,0.0006205,0.0006205
48,59238.3,1.84517,1.02686,0.00237,0.77293,0.59171,0.66176,0.36259,1.73586,0.95883,0.00282,0.00061225,0.00061225,0.00061225
49,60492.3,1.84066,1.02919,0.00237,0.77362,0.59273,0.66385,0.36528,1.72534,0.9525,0.00279,0.000604,0.000604,0.000604
50,61715.9,1.82314,1.01333,0.00234,0.77456,0.59426,0.66523,0.36814,1.72094,0.94102,0.00278,0.00059575,0.00059575,0.00059575
51,62807.8,1.82913,1.01665,0.00235,0.7723,0.59526,0.66631,0.36605,1.72988,0.94611,0.0028,0.0005875,0.0005875,0.0005875
52,64219.7,1.82461,1.0138,0.00235,0.77499,0.58786,0.66066,0.36589,1.71456,0.95401,0.00276,0.00057925,0.00057925,0.00057925
53,65318.6,1.82309,1.01305,0.00235,0.77293,0.59353,0.6656,0.36685,1.72708,0.94698,0.00279,0.000571,0.000571,0.000571
54,66683.3,1.81801,1.01117,0.00235,0.77793,0.5961,0.66799,0.3683,1.71801,0.94095,0.00277,0.00056275,0.00056275,0.00056275
55,67627.7,1.81402,1.00535,0.00232,0.78085,0.59928,0.66924,0.36809,1.72844,0.93981,0.00279,0.0005545,0.0005545,0.0005545
56,1357.26,1.81087,1.00152,0.00232,0.78206,0.59607,0.6681,0.36874,1.72096,0.94321,0.00277,0.00054625,0.00054625,0.00054625
57,2835.78,1.8163,1.00439,0.00231,0.7908,0.59163,0.66845,0.36937,1.70973,0.94659,0.00275,0.000538,0.000538,0.000538
58,4059.6,1.81195,1.00549,0.00231,0.77802,0.5968,0.66957,0.3697,1.71849,0.93499,0.00277,0.00052975,0.00052975,0.00052975
59,5591.16,1.8022,1.00122,0.00232,0.78407,0.59667,0.67103,0.36932,1.71867,0.93999,0.00277,0.0005215,0.0005215,0.0005215
